DEPTH,GR
1105.3501,87.2193
1105.5,88.1204
1105.65,89.1327
1105.8,87.2734
1105.9501,85.737
1106.1001,89.6577
1106.25,93.3096
1106.4,97.9752
1106.55,97.2696
1106.7001,100.4969
1106.8501,100.7267
1107,102.9334
1107.15,104.3024
1107.3,100.5127
1107.4501,94.6242
1107.6001,94.9877
1107.75,97.7082
1107.9,98.2468
1108.05,96.5646
1108.2001,92.8876
1108.3501,89.5168
1108.5,89.2954
1108.65,90.3487
1108.8,87.0861
1108.9501,84.742
1109.1001,85.3234
1109.25,88.0083
1109.4,92.6132
1109.55,96.8321
1109.7001,100.0214
1109.8501,100.5588
1110,100.775
1110.15,98.4655
1110.3,91.3897
1110.4501,90.3314
1110.6001,94.0609
1110.75,95.5415
1110.9,94.2806
1111.05,92.2457
1111.2001,90.2152
1111.3501,92.2519
1111.5,95.3634
1111.65,96.4096
1111.8,95.2245
1111.9501,94.4784
1112.1001,91.5746
1112.25,94.061
1112.4,93.5531
1112.55,91.1177
1112.7001,92.7112
1112.8501,93.977
1113,94.9908
1113.15,97.4306
1113.3,96.7295
1113.4501,93.1593
1113.6001,93.5893
1113.75,96.9423
1113.9,99.5043
1114.05,93.8622
1114.2001,94.0215
1114.3501,95.82
1114.5,92.6531
1114.65,90.5504
1114.8,90.3569
1114.9501,85.7303
1115.1001,82.9429
1115.25,85.7202
1115.4,83.3982
1115.55,85.1657
1115.7001,85.1827
1115.8501,86.769
1116,88.7299
1116.15,90.1383
1116.3,87.9981
1116.4501,88.5339
1116.6001,88.4996
1116.75,88.913
1116.9,82.437
1117.05,77.6461
1117.2001,78.4699
1117.3501,79.8962
1117.5,79.916
1117.65,77.2925
1117.8,73.7221
1117.9501,70.8846
1118.1001,70.0681
1118.25,68.3485
1118.4,68.1743
1118.55,70.7733
1118.7001,70.3472
1118.8501,67.3765
1119,65.895
1119.15,64.2195
1119.3,64.4848
1119.4501,65.3976
1119.6001,64.5002
1119.75,66.1315
1119.9,66.1495
1120.05,62.9046
1120.2001,62.0027
1120.3501,63.0139
1120.5,62.805
1120.65,64.4037
1120.8,65.6578
1120.9501,66.9548
1121.1001,69.5525
1121.25,70.5928
1121.4,69.1046
1121.55,70.9224
1121.7001,72.0208
1121.8501,67.4331
1122,65.271
1122.15,66.1801
1122.3,67.0715
1122.4501,68.9757
1122.6001,72.7056
1122.75,76.0552
1122.9,76.7785
1123.05,75.1838
1123.2001,72.0655
1123.3501,70.4
1123.5,70.4704
1123.65,73.8912
1123.8,78.66
1123.9501,80.555
1124.1001,78.0477
1124.25,75.3951
1124.4,77.1414
1124.55,78.3629
1124.7001,75.4924
1124.8501,77.0142
1125,77.0099
1125.15,78.7689
1125.3,80.3051
1125.4501,77.124
1125.6001,78.0048
1125.75,84.3336
1125.9,89.308
1126.05,88.8107
1126.2001,90.19
1126.3501,90.0467
1126.5,91.3555
1126.65,95.8606
1126.8,97.5025
1126.9501,97.1497
1127.1001,95.6324
1127.25,92.1549
1127.4,91.0774
1127.55,93.0757
1127.7001,93.8163
1127.8501,94.1738
1128,91.0387
1128.15,88.3551
1128.3,90.0412
1128.4501,93.8832
1128.6001,96.2253
1128.75,94.6481
1128.9,93.5033
1129.05,94.5901
1129.2001,94.2288
1129.3501,91.0003
1129.5,85.2272
1129.65,81.084
1129.8,81.6938
1129.9501,83.5438
1130.1001,86.6333
1130.25,87.4769
1130.4,90.1597
1130.55,92.3055
1130.7001,92.108
1130.8501,88.6196
1131,85.5809
1131.15,87.9846
1131.3,87.2574
1131.4501,90.6747
1131.6001,90.7858
1131.75,88.3965
1131.9,90.8046
1132.05,90.115
1132.2001,89.0541
1132.3501,89.5109
1132.5,87.7761
1132.65,85.3919
1132.8,83.1291
1132.9501,84.1187
1133.1001,84.0614
1133.25,83.45
1133.4,78.2
1133.55,76.7783
1133.7001,75.0584
1133.8501,77.9266
1134,80.1449
1134.15,76.7746
1134.3,76.569
1134.4501,77.5733
1134.6001,72.808
1134.75,70.4882
1134.9,70.9589
1135.05,67.8521
1135.2001,69.1014
1135.3501,69.1451
1135.5,67.3126
1135.65,67.5016
1135.8,68.3716
1135.9501,69.5311
1136.1001,70.8558
1136.25,72.273
1136.4,72.5567
1136.55,72.9881
1136.7001,74.7119
1136.8501,73.7095
1137,70.5769
1137.15,69.6278
1137.3,72.1748
1137.4501,75.7329
1137.6001,77.5697
1137.75,78.3
1137.9,79.6171
1138.05,79.6693
1138.2001,79.7999
1138.3501,81.2964
1138.5,79.4542
1138.65,77.1655
1138.8,78.7455
1138.9501,77.9065
1139.1001,76.8203
1139.25,80.5186
1139.4,82.3622
1139.55,84.2952
1139.7001,87.3555
1139.8501,89.7014
1140,90.0461
1140.15,89.1918
1140.3,90.6411
1140.4501,89.4275
1140.6001,86.2608
1140.75,84.9117
1140.9,84.3182
1141.05,85.7507
1141.2001,87.8184
1141.3501,88.2278
1141.5,87.8775
1141.65,82.6337
1141.8,79.1657
1141.9501,76.3074
1142.1001,79.8089
1142.25,80.4698
1142.4,75.409
1142.55,76.5804
1142.7001,76.119
1142.8501,75.99
1143,77.2138
1143.15,72.2767
1143.3,74.7228
1143.4501,70.8136
1143.6001,71.1161
1143.75,74.1264
1143.9,79.9781
1144.05,84.2936
1144.2001,81.6766
1144.3501,74.3683
1144.5,71.4936
1144.65,73.5341
1144.8,76.9274
1144.9501,76.1106
1145.1001,71.8973
1145.25,73.9047
1145.4,74.1929
1145.55,75.6094
1145.7001,79.962
1145.8501,82.3032
1146,80.6025
1146.15,81.1873
1146.3,82.3346
1146.4501,79.5301
1146.6001,76.0347
1146.75,75.0146
1146.9,75.6336
1147.05,74.6416
1147.2001,74.335
1147.3501,77.7828
1147.5,80.747
1147.65,79.3808
1147.8,75.4497
1147.9501,73.788
1148.1001,74.8775
1148.25,73.2111
1148.4,69.5521
1148.55,68.2577
1148.7001,69.8087
1148.8501,73.6794
1149,73.8607
1149.15,72.6835
1149.3,72.5152
1149.4501,71.5123
1149.6001,71.3277
1149.75,67.9765
1149.9,64.7615
1150.05,63.1453
1150.2001,65.4813
1150.3501,68.7914
1150.5,68.8953
1150.65,62.7319
1150.8,61.0058
1150.9501,63.0457
1151.1001,65.9687
1151.25,70.1019
1151.4,71.9357
1151.55,71.9602
1151.7001,74.7132
1151.8501,71.49
1152,74.6636
1152.15,72.6388
1152.3,73.98
1152.4501,76.24
1152.6001,73.9555
1152.75,71.4237
1152.9,76.6298
1153.05,79.2632
1153.2001,80.7
1153.3501,77.072
1153.5,75.1333
1153.65,76.0492
1153.8,77.1333
1153.9501,78.1305
1154.1001,77.4534
1154.25,80.8208
1154.4,87.5554
1154.55,88.5774
1154.7001,84.6558
1154.8501,82.0854
1155,84.1452
1155.15,88.0485
1155.3,87.2734
1155.4501,84.6894
1155.6001,79.8597
1155.75,73.5237
1155.9,73.5996
1156.05,77.1098
1156.2001,79.1226
1156.3501,77.3243
1156.5,76.2341
1156.65,75.1791
1156.8,76.5007
1156.9501,78.5586
1157.1001,80.0513
1157.25,81.5975
1157.4,78.8472
1157.55,74.832
1157.7001,75.0134
1157.8501,75.9734
1158,74.9063
1158.15,75.7378
1158.3,77.2889
1158.4501,77.8193
1158.6001,77.3259
1158.75,76.9686
1158.9,79.1128
1159.05,79.4312
1159.2001,79.1362
1159.3501,81.8351
1159.5,83.5636
1159.65,83.645
1159.8,81.1418
1159.9501,82.8746
1160.1001,85.1724
1160.25,82.8342
1160.4,85.3891
1160.55,83.9678
1160.7001,82.9849
1160.8501,85.2812
1161,88.4534
1161.15,87.9747
1161.3,88.0699
1161.4501,86.1564
1161.6001,86.7932
1161.75,87.3708
1161.9,78.34
1162.05,78.4486
1162.2001,78.8785
1162.3501,81.6744
1162.5,83.5771
1162.65,78.1108
1162.8,74.0682
1162.9501,75.0133
1163.1001,78.3306
1163.25,80.1888
1163.4,78.7429
1163.55,79.4155
1163.7001,77.2766
1163.8501,77.8849
1164,78.9891
1164.15,78.3999
1164.3,75.7374
1164.4501,77.4007
1164.6001,81.2269
1164.75,83.6486
1164.9,84.2
1165.05,84.1933
1165.2001,80.7794
1165.3501,79.034
1165.5,79.5168
1165.65,76.8825
1165.8,75.1056
1165.9501,76.333
1166.1001,78.5299
1166.25,81.0291
1166.4,82.9444
1166.55,82.1406
1166.7001,81.0119
1166.8501,80.289
1167,79.8879
1167.15,81.4864
1167.3,81.4292
1167.4501,81.2887
1167.6001,83.4923
1167.75,83.016
1167.9,81.8204
1168.05,82.6285
1168.2001,82.8935
1168.3501,85.3495
1168.5,91.65
1168.65,94.7987
1168.8,90.402
1168.9501,83.6808
1169.1001,77.8142
1169.25,80.0808
1169.4,79.4383
1169.55,78.3176
1169.7001,79.332
1169.8501,78.2469
1170,76.4963
1170.15,78.3188
1170.3,79.6985
1170.4501,77.2082
1170.6001,80.2505
1170.75,82.8214
1170.9,78.3252
1171.05,78.3946
1171.2001,77.0454
1171.3501,72.4393
1171.5,71.54
1171.65,72.2943
1171.8,77.0175
1171.9501,74.8596
1172.1001,77.3548
1172.25,80.9263
1172.4,80.5811
1172.55,82.3548
1172.7001,85.0273
1172.8501,86.6035
1173,83.6753
1173.15,84.6547
1173.3,88.6564
1173.4501,87.1695
1173.6001,84.3401
1173.75,85.3733
1173.9,82.531
1174.05,81.5825
1174.2001,82.37
1174.3501,78.6692
1174.5,75.5348
1174.65,73.6494
1174.8,68.6889
1174.9501,66.5935
1175.1001,68.2715
1175.25,67.7296
1175.4,67.6582
1175.55,67.7118
1175.7001,67.5954
1175.8501,71.0713
1176,72.2317
1176.15,71.6657
1176.3,73.1058
1176.4501,75.0885
1176.6001,78.1193
1176.75,77.1555
1176.9,74.4356
1177.05,74.2097
1177.2001,70.85
1177.3501,68.9707
1177.5,71.9209
1177.65,75.2599
1177.8,75.1528
1177.9501,72.7366
1178.1001,75.3481
1178.25,75.3219
1178.4,75.9181
1178.55,79.0977
1178.7001,78.4095
1178.8501,77.8326
1179,74.9343
1179.15,76.1317
1179.3,77.8501
1179.4501,78.8945
1179.6001,80.694
1179.75,83.5411
1179.9,86.3421
1180.05,87.2695
1180.2001,90.3695
1180.3501,92.4646
1180.5,87.9784
1180.65,84.1091
1180.8,85.0449
1180.9501,87.06
1181.1001,87.06
1181.25,80.408
1181.4,84.0129
1181.55,86.9048
1181.7001,90.5647
1181.8501,91.7019
1182,88.9109
1182.15,83.8159
1182.3,84.1591
1182.4501,82.8377
1182.6001,79.5413
1182.75,79.3249
1182.9,80.9637
1183.05,83.4022
1183.2001,84.7473
1183.3501,84.1882
1183.5,80.9558
1183.65,79.9304
1183.8,81.4072
1183.9501,79.4547
1184.1001,75.2709
1184.25,76.5753
1184.4,80.3909
1184.55,80.5406
1184.7001,80.6252
1184.8501,79.0662
1185,80.5609
1185.15,83.6401
1185.3,83.7295
1185.4501,80.9955
1185.6001,80.1607
1185.75,80.7125
1185.9,78.8722
1186.05,78.3482
1186.2001,77.6281
1186.3501,75.9472
1186.5,75.1093
1186.65,73.3222
1186.8,73.0738
1186.9501,72.4913
1187.1001,72.4338
1187.25,71.7976
1187.4,73.7686
1187.55,76.4408
1187.7001,78.8829
1187.8501,78.8127
1188,77.1627
1188.15,78.9069
1188.3,81.1198
1188.4501,82.1228
1188.6001,80.0016
1188.75,80.7173
1188.9,80.823
1189.05,76.707
1189.2001,76.8325
1189.3501,77.4773
1189.5,78.5592
1189.65,82.9308
1189.8,84.4057
1189.9501,85.8198
1190.1001,84.1198
1190.25,81.2377
